x =  0.0612975 	dxcalc =  0.0001943086 	f(x) =  -43.54939	dist =  2.083918
x =  0.06149181 	dxcalc =  0.0001793291 	f(x) =  -45.63105	dist =  2.081664
x =  0.06167114 	dxcalc =  0.0001658684 	f(x) =  -47.71046	dist =  2.079407
x =  0.06183701 	dxcalc =  0.0001537514 	f(x) =  -49.78763	dist =  2.077175
x =  0.06199076 	dxcalc =  0.0001428233 	f(x) =  -51.86262	dist =  2.074985
x =  0.06213359 	dxcalc =  0.0001329471 	f(x) =  -53.93547	dist =  2.072853
x =  0.06226653 	dxcalc =  0.0001240026 	f(x) =  -56.00626	dist =  2.070786
x =  0.06239053 	dxcalc =  0.0001158846 	f(x) =  -58.07505	dist =  2.06879
x =  0.06250642 	dxcalc =  0.0001085005 	f(x) =  -60.14191	dist =  2.066867
x =  0.06261492 	dxcalc =  0.0001017696 	f(x) =  -62.20693	dist =  2.06502
x =  0.06271669 	dxcalc =  9.562114e-05 	f(x) =  -64.27018	dist =  2.063247
x =  0.06281231 	dxcalc =  8.999287e-05 	f(x) =  -66.33173	dist =  2.061547
x =  0.0629023 	dxcalc =  8.483031e-05 	f(x) =  -68.39164	dist =  2.059918
x =  0.06298713 	dxcalc =  8.008552e-05 	f(x) =  -70.45	dist =  2.058358
x =  0.06306722 	dxcalc =  7.571625e-05 	f(x) =  -72.50687	dist =  2.056864
x =  0.06314294 	dxcalc =  7.168526e-05 	f(x) =  -74.5623	dist =  2.055434
x =  0.06321462 	dxcalc =  6.79596e-05 	f(x) =  -76.61636	dist =  2.054064
x =  0.06328258 	dxcalc =  6.45101e-05 	f(x) =  -78.66912	dist =  2.052753
x =  0.06334709 	dxcalc =  6.131089e-05 	f(x) =  -80.72061	dist =  2.051496
x =  0.0634084 	dxcalc =  5.833893e-05 	f(x) =  -82.7709	dist =  2.050291
x =  0.06346674 	dxcalc =  5.557371e-05 	f(x) =  -84.82004	dist =  2.049136
x =  0.06352231 	dxcalc =  5.299693e-05 	f(x) =  -86.86807	dist =  2.048029
x =  0.06357531 	dxcalc =  5.059221e-05 	f(x) =  -88.91504	dist =  2.046966
x =  0.0636259 	dxcalc =  4.834486e-05 	f(x) =  -90.96098	dist =  2.045945
x =  0.06367425 	dxcalc =  4.624171e-05 	f(x) =  -93.00594	dist =  2.044964
x =  0.06372049 	dxcalc =  4.427089e-05 	f(x) =  -95.04997	dist =  2.044022
x =  0.06376476 	dxcalc =  4.242172e-05 	f(x) =  -97.09308	dist =  2.043115
x =  0.06380718 	dxcalc =  4.068453e-05 	f(x) =  -99.13533	dist =  2.042243
x =  0.06755016 	dxcalc =  3.319382e-05 	f(x) =  97.62159	f'(x) =  -60252.18
x =  0.06758335 	dxcalc =  3.442702e-05 	f(x) =  95.65774	dist =  1.963847
x =  0.06761778 	dxcalc =  3.572859e-05 	f(x) =  93.69451	dist =  1.963227
x =  0.06765351 	dxcalc =  3.710357e-05 	f(x) =  91.73193	dist =  1.962586
x =  0.06769061 	dxcalc =  3.855744e-05 	f(x) =  89.77	dist =  1.961924
x =  0.06772917 	dxcalc =  4.00962e-05 	f(x) =  87.80876	dist =  1.961241
