>> interpol()
x       	p(x)    	y(x)    	|p-y|   
1.510000	-2.369655	-1.830962	0.538693
1.520000	-2.376524	-1.842526	0.533998
1.530000	-2.382261	-1.853414	0.528847
1.540000	-2.386867	-1.863615	0.523252
1.550000	-2.390345	-1.873120	0.517225
1.560000	-2.392696	-1.881920	0.510776
1.570000	-2.393922	-1.890004	0.503918
1.580000	-2.394026	-1.897364	0.496663
1.590000	-2.393012	-1.903990	0.489022
1.600000	-2.390883	-1.909874	0.481008
1.610000	-2.387642	-1.915008	0.472634
1.620000	-2.383294	-1.919383	0.463911
1.630000	-2.377843	-1.922991	0.454852
1.640000	-2.371294	-1.925824	0.445470
1.650000	-2.363652	-1.927875	0.435777
1.660000	-2.354923	-1.929136	0.425787
1.670000	-2.345112	-1.929601	0.415511
1.680000	-2.334226	-1.929264	0.404963
1.690000	-2.322272	-1.928117	0.394155
1.700000	-2.309255	-1.926154	0.383102
1.710000	-2.295184	-1.923370	0.371814
1.720000	-2.280065	-1.919759	0.360306
1.730000	-2.263907	-1.915316	0.348591
1.740000	-2.246717	-1.910036	0.336681
1.750000	-2.228504	-1.903914	0.324590
1.760000	-2.209276	-1.896947	0.312329
1.770000	-2.189043	-1.889129	0.299914
1.780000	-2.167813	-1.880458	0.287355
1.790000	-2.145596	-1.870931	0.274666
1.800000	-2.122403	-1.860543	0.261860
1.810000	-2.098242	-1.849293	0.248949
1.820000	-2.073124	-1.837178	0.235946
1.830000	-2.047060	-1.824196	0.222864
1.840000	-2.020061	-1.810346	0.209715
1.850000	-1.992138	-1.795626	0.196512
1.860000	-1.963302	-1.780036	0.183267
1.870000	-1.933565	-1.763574	0.169992
1.880000	-1.902939	-1.746241	0.156698
1.890000	-1.871435	-1.728036	0.143399
1.900000	-1.839067	-1.708961	0.130106
1.910000	-1.805847	-1.689016	0.116831
1.920000	-1.771787	-1.668202	0.103584
1.930000	-1.736900	-1.646522	0.090379
1.940000	-1.701201	-1.623976	0.077225
1.950000	-1.664702	-1.600568	0.064134
1.960000	-1.627417	-1.576300	0.051117
1.970000	-1.589360	-1.551175	0.038185
1.980000	-1.550546	-1.525197	0.025348
1.990000	-1.510987	-1.498370	0.012617
2.000000	-1.470700	-1.470698	0.000002
2.010000	-1.429698	-1.442186	0.012488
2.020000	-1.387997	-1.412838	0.024841
2.030000	-1.345612	-1.382661	0.037049
2.040000	-1.302558	-1.351660	0.049103
2.050000	-1.258850	-1.319842	0.060992
2.060000	-1.214504	-1.287213	0.072709
2.070000	-1.169535	-1.253779	0.084244
2.080000	-1.123961	-1.219549	0.095589
2.090000	-1.077796	-1.184531	0.106735
2.100000	-1.031058	-1.148732	0.117674
2.110000	-0.983762	-1.112162	0.128399
2.120000	-0.935926	-1.074828	0.138903
2.130000	-0.887565	-1.036742	0.149176
2.140000	-0.838697	-0.997911	0.159214
2.150000	-0.789339	-0.958348	0.169008
2.160000	-0.739508	-0.918061	0.178553
2.170000	-0.689221	-0.877062	0.187841
2.180000	-0.638496	-0.835363	0.196867
2.190000	-0.587350	-0.792976	0.205625
2.200000	-0.535801	-0.749911	0.214110
2.210000	-0.483866	-0.706182	0.222316
2.220000	-0.431564	-0.661802	0.230239
2.230000	-0.378912	-0.616784	0.237873
2.240000	-0.325928	-0.571142	0.245214
2.250000	-0.272631	-0.524889	0.252258
2.260000	-0.219039	-0.478040	0.259001
2.270000	-0.165170	-0.430609	0.265439
2.280000	-0.111043	-0.382613	0.271570
2.290000	-0.056676	-0.334065	0.277390
2.300000	-0.002087	-0.284983	0.282896
2.310000	0.052703	-0.235382	0.288085
2.320000	0.107678	-0.185278	0.292957
2.330000	0.162818	-0.134690	0.297508
2.340000	0.218104	-0.083632	0.301737
2.350000	0.273517	-0.032125	0.305642
2.360000	0.329039	0.019816	0.309223
2.370000	0.384650	0.072171	0.312478
2.380000	0.440331	0.124922	0.315408
2.390000	0.496063	0.178051	0.318011
2.400000	0.551827	0.231538	0.320289
2.410000	0.607603	0.285363	0.322240
2.420000	0.663374	0.339508	0.323866
2.430000	0.719118	0.393951	0.325167
2.440000	0.774818	0.448673	0.326145
2.450000	0.830453	0.503653	0.326800
2.460000	0.886005	0.558870	0.327135
2.470000	0.941454	0.614303	0.327152
2.480000	0.996781	0.669930	0.326851
2.490000	1.051967	0.725730	0.326237
2.500000	1.106992	0.781681	0.325311
2.510000	1.161837	0.837761	0.324076
2.520000	1.216482	0.893947	0.322536
2.530000	1.270910	0.950217	0.320693
2.540000	1.325099	1.006547	0.318552
2.550000	1.379032	1.062916	0.316116
2.560000	1.432688	1.119299	0.313389
2.570000	1.486049	1.175673	0.310376
2.580000	1.539095	1.232015	0.307081
2.590000	1.591808	1.288300	0.303508
2.600000	1.644169	1.344505	0.299664
2.610000	1.696157	1.400605	0.295552
2.620000	1.747756	1.456576	0.291179
2.630000	1.798945	1.512395	0.286550
2.640000	1.849705	1.568035	0.281670
2.650000	1.900019	1.623473	0.276546
2.660000	1.949867	1.678683	0.271184
2.670000	1.999230	1.733641	0.265590
2.680000	2.048091	1.788321	0.259770
2.690000	2.096430	1.842699	0.253731
2.700000	2.144230	1.896750	0.247480
2.710000	2.191472	1.950447	0.241025
2.720000	2.238137	2.003766	0.234371
2.730000	2.284208	2.056681	0.227526
2.740000	2.329667	2.109168	0.220499
2.750000	2.374495	2.161200	0.213295
2.760000	2.418675	2.212751	0.205924
2.770000	2.462190	2.263798	0.198392
2.780000	2.505021	2.314313	0.190708
2.790000	2.547152	2.364272	0.182879
2.800000	2.588564	2.413650	0.174914
2.810000	2.629241	2.462420	0.166821
2.820000	2.669166	2.510557	0.158608
2.830000	2.708321	2.558037	0.150284
2.840000	2.746691	2.604834	0.141856
2.850000	2.784257	2.650923	0.133334
2.860000	2.821005	2.696279	0.124726
2.870000	2.856917	2.740877	0.116040
2.880000	2.891977	2.784691	0.107285
2.890000	2.926169	2.827699	0.098471
2.900000	2.959478	2.869874	0.089604
2.910000	2.991887	2.911192	0.080695
2.920000	3.023382	2.951630	0.071752
2.930000	3.053946	2.991163	0.062783
2.940000	3.083565	3.029767	0.053798
2.950000	3.112223	3.067419	0.044805
2.960000	3.139907	3.104094	0.035813
2.970000	3.166601	3.139770	0.026830
2.980000	3.192290	3.174425	0.017865
2.990000	3.216961	3.208033	0.008928
3.000000	3.240600	3.240575	0.000025
3.010000	3.263193	3.272026	0.008833
3.020000	3.284726	3.302365	0.017640
3.030000	3.305185	3.331571	0.026385
3.040000	3.324559	3.359621	0.035062
3.050000	3.342834	3.386495	0.043661
3.060000	3.359996	3.412172	0.052175
3.070000	3.376035	3.436631	0.060596
3.080000	3.390937	3.459852	0.068916
3.090000	3.404690	3.481816	0.077126
3.100000	3.417284	3.502503	0.085220
3.110000	3.428705	3.521894	0.093189
3.120000	3.438944	3.539970	0.101026
3.130000	3.447989	3.556714	0.108725
3.140000	3.455829	3.572106	0.116277
3.150000	3.462455	3.586130	0.123676
3.160000	3.467855	3.598769	0.130914
3.170000	3.472020	3.610006	0.137986
3.180000	3.474940	3.619826	0.144885
3.190000	3.476607	3.628211	0.151605
3.200000	3.477010	3.635148	0.158139
3.210000	3.476141	3.640622	0.164481
3.220000	3.473992	3.644618	0.170626
3.230000	3.470555	3.647122	0.176568
3.240000	3.465821	3.648122	0.182302
3.250000	3.459783	3.647605	0.187822
3.260000	3.452433	3.645558	0.193125
3.270000	3.443766	3.641971	0.198205
3.280000	3.433774	3.636831	0.203058
3.290000	3.422451	3.630130	0.207679
3.300000	3.409790	3.621855	0.212065
3.310000	3.395787	3.611999	0.216212
3.320000	3.380436	3.600552	0.220117
3.330000	3.363731	3.587507	0.223776
3.340000	3.345669	3.572856	0.227186
3.350000	3.326245	3.556591	0.230346
3.360000	3.305456	3.538707	0.233251
3.370000	3.283296	3.519198	0.235901
3.380000	3.259764	3.498058	0.238294
3.390000	3.234856	3.475283	0.240427
3.400000	3.208570	3.450871	0.242300
3.410000	3.180904	3.424816	0.243912
3.420000	3.151856	3.397117	0.245262
3.430000	3.121424	3.367773	0.246349
3.440000	3.089608	3.336781	0.247173
3.450000	3.056407	3.304142	0.247735
3.460000	3.021820	3.269855	0.248035
3.470000	2.985849	3.233922	0.248074
3.480000	2.948493	3.196345	0.247852
3.490000	2.909753	3.157125	0.247372
3.500000	2.869632	3.116265	0.246634
3.510000	2.828130	3.073770	0.245641
3.520000	2.785249	3.029644	0.244395
3.530000	2.740994	2.983892	0.242898
3.540000	2.695365	2.936519	0.241154
3.550000	2.648368	2.887533	0.239166
3.560000	2.600005	2.836941	0.236936
3.570000	2.550282	2.784751	0.234469
3.580000	2.499203	2.730971	0.231769
3.590000	2.446772	2.675612	0.228840
3.600000	2.392997	2.618683	0.225686
3.610000	2.337883	2.560196	0.222314
3.620000	2.281436	2.500162	0.218727
3.630000	2.223663	2.438594	0.214931
3.640000	2.164573	2.375505	0.210932
3.650000	2.104172	2.310909	0.206737
3.660000	2.042470	2.244821	0.202351
3.670000	1.979475	2.177256	0.197780
3.680000	1.915197	2.108231	0.193033
3.690000	1.849646	2.037762	0.188116
3.700000	1.782831	1.965867	0.183036
3.710000	1.714764	1.892565	0.177801
3.720000	1.645456	1.817875	0.172419
3.730000	1.574919	1.741816	0.166897
3.740000	1.503165	1.664410	0.161245
3.750000	1.430207	1.585678	0.155471
3.760000	1.356059	1.505642	0.149583
3.770000	1.280734	1.424324	0.143591
3.780000	1.204246	1.341749	0.137503
3.790000	1.126611	1.257941	0.131330
3.800000	1.047844	1.172924	0.125080
3.810000	0.967961	1.086725	0.118763
3.820000	0.886979	0.999369	0.112390
3.830000	0.804914	0.910884	0.105970
3.840000	0.721784	0.821298	0.099514
3.850000	0.637608	0.730639	0.093031
3.860000	0.552403	0.638936	0.086533
3.870000	0.466189	0.546220	0.080030
3.880000	0.378987	0.452520	0.073533
3.890000	0.290816	0.357868	0.067052
3.900000	0.201697	0.262296	0.060599
3.910000	0.111652	0.165835	0.054184
3.920000	0.020702	0.068521	0.047818
3.930000	-0.071129	-0.029615	0.041513
3.940000	-0.163818	-0.128538	0.035280
3.950000	-0.257341	-0.228212	0.029129
3.960000	-0.351675	-0.328602	0.023072
3.970000	-0.446793	-0.429673	0.017121
3.980000	-0.542671	-0.531386	0.011285
3.990000	-0.639283	-0.633706	0.005576
4.000000	-0.736600	-0.736594	0.000006
4.010000	-0.834596	-0.840012	0.005415
4.020000	-0.933244	-0.943920	0.010676
4.030000	-1.032513	-1.048280	0.015767
4.040000	-1.132375	-1.153051	0.020676
4.050000	-1.232801	-1.258193	0.025392
4.060000	-1.333758	-1.363665	0.029907
4.070000	-1.435217	-1.469426	0.034209
4.080000	-1.537145	-1.575434	0.038288
4.090000	-1.639511	-1.681646	0.042135
4.100000	-1.742279	-1.788019	0.045740
4.110000	-1.845418	-1.894511	0.049093
4.120000	-1.948893	-2.001079	0.052186
4.130000	-2.052668	-2.107677	0.055009
4.140000	-2.156707	-2.214262	0.057554
4.150000	-2.260975	-2.320788	0.059813
4.160000	-2.365434	-2.427212	0.061778
4.170000	-2.470047	-2.533488	0.063441
4.180000	-2.574774	-2.639569	0.064795
4.190000	-2.679578	-2.745411	0.065833
4.200000	-2.784417	-2.850967	0.066550
4.210000	-2.889252	-2.956189	0.066938
4.220000	-2.994041	-3.061033	0.066992
4.230000	-3.098742	-3.165451	0.066709
4.240000	-3.203313	-3.269395	0.066082
4.250000	-3.307711	-3.372818	0.065108
4.260000	-3.411890	-3.475673	0.063783
4.270000	-3.515808	-3.577913	0.062105
4.280000	-3.619417	-3.679489	0.060072
4.290000	-3.722673	-3.780354	0.057681
4.300000	-3.825527	-3.880459	0.054932
4.310000	-3.927932	-3.979757	0.051824
4.320000	-4.029841	-4.078199	0.048358
4.330000	-4.131203	-4.175738	0.044534
4.340000	-4.231969	-4.272325	0.040355
4.350000	-4.332089	-4.367912	0.035823
4.360000	-4.431510	-4.462451	0.030941
4.370000	-4.530181	-4.555894	0.025713
4.380000	-4.628049	-4.648193	0.020144
4.390000	-4.725060	-4.739300	0.014240
4.400000	-4.821159	-4.829167	0.008007
4.410000	-4.916292	-4.917746	0.001454
4.420000	-5.010403	-5.004991	0.005412
4.430000	-5.103434	-5.090854	0.012580
4.440000	-5.195328	-5.175287	0.020042
4.450000	-5.286027	-5.258243	0.027784
4.460000	-5.375472	-5.339677	0.035796
4.470000	-5.463603	-5.419540	0.044062
4.480000	-5.550358	-5.497789	0.052570
